#赫尔默特四参数转换法数据文件
#每行以“#”开头的行均被认为是注释行
#公共点在工程坐标三中的坐标: 点名, X(N), Y(E)
F66, 5492365.986, 445025.537
F65, 5489660.205, 448428.633
F64, 5489874.110, 451739.622
F63, 5490067.775, 454930.734
F62, 5490278.908, 458071.160

#公共点在工程坐标二中的坐标: 点名, X(N), Y(E)
F66,5492144.674, 524610.610
F65,5489488.940, 528052.820
F64,5489751.182, 531360.302
F63,5489991.440, 534548.237
F62,5490248.426, 537685.255

#待转换点在工程坐标三中的坐标: 点名, X(N), Y(E)
F66, 5492365.986, 445025.537
F65, 5489660.205, 448428.633
F64, 5489874.110, 451739.622
F63, 5490067.775, 454930.734
F62, 5490278.908, 458071.160
F61 , 5490300.591, 461668.445 
F60 , 5492247.473, 464962.090 
B812, 5492909.544, 465484.588 
F59 , 5491867.995, 467852.212 
F58 , 5491756.402, 471290.965 
F57 , 5490240.590, 473311.502 
F56 , 5490624.889, 475581.655 
F55 , 5490578.737, 477718.102 
F54 , 5490781.528, 479694.449 
F27 , 5490302.254, 481583.056 
GS4 , 5490619.649, 482420.281 
F26 , 5490788.486, 483784.914 
F25 , 5491328.812, 486351.124 
F24 , 5492179.203, 490085.092 
F23 , 5491932.965, 491968.709 
F22 , 5491780.792, 495393.280 
F21 , 5492740.107, 495418.098 
F20 , 5493287.476, 496713.559 
F19 , 5492678.199, 498880.385 
F18 , 5494248.453, 501370.422 
F17 , 5496063.683, 502504.844 
F16 , 5497776.935, 504198.716 
F15 , 5499376.029, 506818.920 
F14 , 5500295.495, 507901.767 
F13 , 5502080.865, 509307.835 
F12 , 5503099.001, 511330.928 
F11 , 5504667.387, 514241.008 
F08 , 5508799.365, 515700.481 
F10 , 5504713.002, 516053.477 
F09 , 5507078.054, 516214.626 
F07 , 5512108.914, 516858.161 
B06 , 5505961.741, 518308.833 
B05 , 5506162.813, 519548.219 
F06 , 5515583.298, 520271.435 
F05 , 5516686.800, 521135.715 
F04 , 5517620.845, 521944.486 
B04 , 5507011.463, 522970.222 
F03 , 5516827.627, 524950.742 
B03 , 5505940.728, 525697.996 
F02 , 5517298.190, 526588.458 
F01 , 5517572.768, 527276.089 
B02 , 5507547.270, 529173.883 
B01 , 5506164.308, 530691.897 
Y   , 5505175.534, 531169.275 


	
	
	
	
	

