#赫尔默特四参数转换法数据文件
#每行以“#”开头的行均被认为是注释行
#公共点在工程坐标一中的坐标: 点名, X(N), Y(E)
F94,  5469829.614,	514875.718
F93,  5470654.630,	520337.629
F92,  5471279.468,	521099.932

#公共点在工程坐标二中的坐标: 点名, X(N), Y(E)
F94,  5470239.285,	431331.802
F93,  5470981.017,	436805.676
F92,  5471594.171,	437577.409

#待转换点在工程坐标一中的坐标: 点名, X(N), Y(E)
F113, 5484683.537, 468838.697
ZD3	, 5501114.570, 469536.128
F112, 5484819.716, 469915.285
ZD2	, 5502681.392, 475097.998
F111, 5483780.254, 476139.172
F110, 5482960.531, 476754.007
F108, 5482709.126, 479643.502
B821, 5502510.383, 479892.331
F109, 5484713.659, 480449.614
F107, 5481643.590, 482520.079
F106, 5478375.716, 485949.238
F105, 5474533.915, 487586.081
F104, 5473278.242, 488050.914
F103, 5468903.927, 493234.393
F102, 5468537.236, 493976.899
F101, 5466768.832, 498760.785
F100, 5466742.592, 499472.714
F99	, 5468526.246, 504915.707
F98	, 5469311.950, 505542.713
GS1	, 5470462.480, 506724.991
F97	, 5472162.764, 509410.538
F96	, 5472154.286, 510087.151
F95	, 5469842.495, 513319.591
F94	, 5469829.614, 514875.718
F93 , 5470654.630, 520337.629
F92	, 5471279.468, 521099.932
