#赫尔默特四参数转换法计算成果数据文件
# 公共点坐标
# 点名, 源X(N), 源Y(E), 新X(N), 新Y(E)
F94,5469829.614,514875.718,5470239.285,431331.802
F93,5470654.630,520337.629,5470981.017,436805.676
F92,5471279.468,521099.932,5471594.171,437577.409

# 转换参数
东向(E)平移量a=-166801.988817068，北向(N)平移量b=8858.42995796166, c=0.999889156632003, d=0.0152317621581358
旋转角α=0.522188173612636，尺度因子k=1.00000516605101

# 待计算点的坐标
# 点名, 源X(N), 源Y(E), 新X(N), 新Y(E)
F113,5484683.537,468838.697,5485792.787,385526.136
ZD3,5501114.570,469536.128,5502211.375,386473.763
F112,5484819.716,469915.285,5485912.552,386604.679
ZD2,5502681.392,475097.998,5503693.307,392058.882
F111,5483780.254,476139.172,5484778.405,392812.043
F110,5482960.531,476754.007,5483949.408,393414.324
F108,5482709.126,479643.502,5483654.018,396299.669
B821,5502510.383,479892.331,5503449.290,396850.079
F109,5484713.659,480449.614,5485646.051,397136.224
F107,5481643.590,482520.079,5482544.785,399159.697
F106,5478375.716,485949.238,5479225.041,402538.701
F105,5474533.915,487586.081,5475358.734,404116.845
F104,5473278.242,488050.914,5474096.120,404562.500
F103,5468903.927,493234.393,5469643.336,409678.776
F102,5468537.236,493976.899,5469265.376,410415.615
F101,5466768.832,498760.785,5467424.301,415172.034
F100,5466742.592,499472.714,5467387.220,415883.485
F99,5468526.246,504915.707,5469087.770,421353.043
F98,5469311.950,505542.713,5469863.837,421991.947
GS1,5470462.480,506724.991,5470996.231,423191.618
F97,5472162.764,509410.538,5472655.421,425902.766
F96,5472154.286,510087.151,5472636.638,426579.175
F95,5469842.495,513319.591,5470275.867,429776.044
F94,5469829.614,514875.718,5470239.285,431331.802
F93,5470654.630,520337.629,5470981.015,436805.674
F92,5471279.468,521099.932,5471594.173,437577.410
