#赫尔默特四参数转换法计算成果数据文件
# 公共点坐标
# 点名, 源X(N), 源Y(E), 新X(N), 新Y(E)
F66,5492365.986,445025.537,5492144.674,524610.610
F65,5489660.205,448428.633,5489488.940,528052.820
F64,5489874.110,451739.622,5489751.182,531360.302
F63,5490067.775,454930.734,5489991.440,534548.237
F62,5490278.908,458071.160,5490248.426,537685.255

# 转换参数
东向(E)平移量a=159872.010169096，北向(N)平移量b=-6102.56690037325, c=0.999887114826083, d=-0.0146087712334247
旋转角α=-0.50134011547467，尺度因子k=0.99999382927705

# 待计算点的坐标
# 点名, 源X(N), 源Y(E), 新X(N), 新Y(E)
F66,5492365.986,445025.537,5492144.689,524610.592
F65,5489660.205,448428.633,5489488.928,528052.832
F64,5489874.110,451739.622,5489751.179,531360.322
F63,5490067.775,454930.734,5489991.440,534548.245
F62,5490278.908,458071.160,5490248.427,537685.232
F61,5490300.591,461668.445,5490322.659,541281.794
F60,5492247.473,464962.090,5492317.438,544546.626
B812,5492909.544,465484.588,5492987.067,545059.393
F59,5491867.995,467852.212,5491980.224,547441.965
F58,5491756.402,471290.965,5491918.879,550881.960
F57,5490240.590,473311.502,5490432.756,552924.414
F56,5490624.889,475581.655,5490850.176,555188.696
F55,5490578.737,477718.102,5490835.240,557325.576
F54,5490781.528,479694.449,5491066.880,559298.738
F27,5490302.254,481583.056,5490615.250,561194.133
GS4,5490619.649,482420.281,5490944.840,562026.627
F26,5490788.486,483784.914,5491133.594,563388.639
F25,5491328.812,486351.124,5491711.348,565946.666
F24,5492179.203,490085.092,5492616.191,569667.789
F23,5491932.965,491968.709,5492397.499,571554.791
F22,5491780.792,495393.280,5492295.372,574981.198
F21,5492740.107,495418.098,5493254.941,574991.999
F20,5493287.476,496713.559,5493821.173,576279.318
F19,5492678.199,498880.385,5493243.620,578454.800
F18,5494248.453,501370.422,5494850.073,580921.616
F17,5496063.683,502504.844,5496681.670,582029.392
F16,5497776.935,504198.716,5498419.474,583698.044
F15,5499376.029,506818.920,5500056.666,586294.591
F14,5500295.495,507901.767,5500991.847,587363.884
F13,5502080.865,509307.835,5502797.556,588743.711
F12,5503099.001,511330.928,5503845.132,590751.702
F11,5504667.387,514241.008,5505455.854,593638.541
F08,5508799.365,515700.481,5509608.687,595037.487
F10,5504713.002,516053.477,5505527.942,595450.139
F09,5507078.054,516214.626,5507895.081,595576.720
F07,5512108.914,516858.161,5512934.774,596146.687
B06,5505961.741,518308.833,5506809.488,597686.998
B05,5506162.813,519548.219,5507028.643,598923.307
F06,5515583.298,520271.435,5516458.630,599508.820
F05,5516686.800,521135.715,5517574.633,600356.881
F04,5517620.845,521944.486,5518520.388,601151.916
B04,5507011.463,522970.222,5507927.188,602332.526
F03,5516827.627,524950.742,5517771.177,604169.420
B03,5505940.728,525697.996,5506896.424,605075.634
F02,5517298.190,526588.458,5518265.612,605800.077
F01,5517572.768,527276.089,5518550.205,606483.619
B02,5507547.270,529173.883,5508553.563,608527.659
B01,5506164.308,530691.897,5507192.933,610065.705
Y,5505175.534,531169.275,5506211.245,610557.474
